Timestamp,Number of Friends,Approximate No of Friend Requests sent in a week,Approximate No of Friend Requests received in a week,Approximate No of messages sent in a week,Approximate No of messages received in a week,Approximate No of tags in a week,Approximate No of urls in messages sent/received in a week,Approximate No of posts in a week,"If you don't have any referrals in Microsoft then apply for it during career fair in September;Hey, are you still going to SSN office on Monday;Do you guys have more space"
4/25/2015 17:40,26,10,29,100,50,0,0,1,Write notes in your own words
4/26/2015 17:40,234,250,100,189,100,3,1,1,Actually I'm not going on monday;I'm going on tuesday;I think Sowmy is going on monday
4/27/2015 17:40,126,235,456,12,4,2,2,2,"How are you;oh, he was okay with Tuesday too;he was telling me that you might come too"
4/28/2015 17:40,448,2,2,50,70,2,10,1,Use the dictionary to check the meaning of any unfamiliar words;and we three will go;Im waiting for authorization letter from vis;Most probably ill get it on monday
4/29/2015 17:40,438,10,15,100,150,1,10,2,Hello world;Hello world;u can drop us tomorrow
4/30/2015 17:40,700,1,1,10,20,5,5,1,kick start;r u going to ssn office tomorrow;I want too
5/1/2015 17:40,337,1,1,20,20,0,0,0,have a nice day;I don't have a ride yet;i also want to go tomorrow
5/2/2015 17:40,1044,1,1,500,500,1,1,3,Open up the discussion;There is some guy who drives people right;ya but he has some meeting it seems tomorrow
5/3/2015 17:40,523,1,2,50,50,5,10,0,I love you;Ah unsure emoticon;he can drive us tomorrow afternoon
